iter	Passed	Remaining
400	11490	17164
401	11519	17135
402	11543	17100
403	11578	17081
404	11622	17075
405	11649	17043
406	11678	17016
407	11707	16986
408	11731	16951
409	11754	16915
410	11788	16894
411	11835	16892
412	11856	16851
413	11878	16813
414	11907	16784
415	11933	16753
416	11952	16711
417	11972	16670
418	11991	16627
419	12008	16583
420	12035	16552
421	12059	16517
422	12077	16474
423	12100	16437
424	12118	16395
425	12141	16359
426	12161	16319
427	12176	16273
428	12195	16232
429	12219	16198
430	12242	16162
431	12274	16138
432	12294	16098
433	12310	16054
434	12329	16014
435	12353	15980
436	12389	15961
437	12417	15933
438	12449	15908
439	12481	15885
440	12511	15859
441	12536	15826
442	12569	15803
443	12616	15798
444	12637	15761
445	12661	15727
446	12702	15714
447	12732	15688
448	12751	15648
449	12775	15614
450	12799	15580
451	12815	15537
452	12834	15497
453	12851	15455
454	12870	15415
455	12896	15385
456	12912	15342
457	12933	15306
458	12952	15266
459	12975	15231
460	12994	15193
461	13016	15157
462	13035	15119
463	13063	15090
464	13080	15049
465	13105	15018
466	13130	14986
467	13147	14945
468	13164	14904
469	13183	14865
470	13200	14826
471	13228	14798
472	13247	14759
473	13275	14731
474	13292	14691
475	13306	14648
476	13325	14610
477	13357	14587
478	13384	14557
479	13403	14520
480	13426	14486
481	13445	14449
482	13464	14411
483	13482	14374
484	13497	14332
485	13523	14302
486	13546	14269
487	13568	14235
488	13590	14202
489	13608	14163
490	13629	14129
491	13651	14095
492	13673	14061
493	13692	14025
494	13710	13987
495	13729	13950
496	13746	13912
497	13770	13880
498	13794	13850
499	13812	13812
500	13828	13772
501	13862	13751
502	13882	13716
503	13899	13679
504	13927	13652
505	13951	13620
506	13969	13583
507	13988	13548
508	14017	13521
509	14038	13488
510	14060	13455
511	14081	13421
512	14098	13384
513	14119	13350
514	14137	13314
515	14155	13277
516	14176	13244
517	14200	13213
518	14219	13178
519	14236	13141
520	14256	13107
521	14282	13078
522	14301	13043
523	14321	13009
524	14346	12980
525	14367	12946
526	14388	12913
527	14407	12879
528	14423	12842
529	14454	12817
530	14474	12784
531	14491	12747
532	14522	12724
533	14545	12692
534	14562	12657
535	14586	12626
536	14606	12593
537	14626	12560
538	14644	12524
539	14657	12485
540	14677	12452
541	14696	12418
542	14713	12382
543	14727	12345
544	14745	12310
545	14762	12274
546	14781	12241
547	14797	12204
548	14815	12170
549	14841	12143
550	14870	12117
551	14895	12089
552	14915	12056
553	14945	12031
554	14980	12011
555	15012	11988
556	15047	11967
557	15082	11946
558	15103	11915
559	15133	11890
560	15166	11868
561	15196	11843
562	15217	11811
563	15252	11790
564	15284	11767
565	15305	11736
566	15333	11710
567	15358	11681
568	15382	11652
569	15413	11627
570	15438	11599
571	15466	11572
572	15487	11541
573	15518	11516
574	15537	11484
575	15563	11456
576	15581	11423
577	15611	11398
578	15634	11367
579	15662	11341
580	15688	11314
581	15712	11285
582	15733	11253
583	15767	11231
584	15794	11204
585	15824	11179
586	15842	11146
587	15860	11112
588	15878	11080
589	15905	11052
590	15927	11022
591	15942	10987
592	15959	10953
593	15976	10920
594	15997	10888
595	16022	10861
596	16037	10825
597	16055	10793
598	16072	10759
599	16097	10731
600	16116	10699
601	16131	10665
602	16158	10638
603	16179	10607
604	16199	10576
605	16222	10547
606	16238	10513
607	16257	10481
608	16273	10448
609	16290	10415
610	16307	10382
611	16325	10350
612	16343	10318
613	16364	10287
614	16384	10257
615	16397	10221
616	16418	10191
617	16434	10158
618	16453	10127
619	16482	10102
620	16505	10073
621	16524	10042
622	16542	10010
623	16570	9984
624	16589	9953
625	16605	9921
626	16623	9889
627	16642	9858
628	16668	9831
629	16688	9801
630	16716	9775
631	16732	9742
632	16754	9713
633	16771	9681
634	16786	9648
635	16802	9616
636	16820	9585
637	16841	9555
638	16857	9523
639	16890	9501
640	16912	9472
641	16931	9441
642	16950	9411
643	16971	9381
644	16991	9351
645	17010	9321
646	17027	9290
647	17055	9264
648	17076	9235
649	17092	9203
650	17108	9171
651	17127	9141
652	17146	9111
653	17178	9088
654	17196	9057
655	17224	9032
656	17243	9002
657	17259	8970
658	17274	8938
659	17300	8912
660	17324	8885
661	17345	8856
662	17363	8825
663	17387	8798
664	17423	8777
665	17473	8762
666	17503	8738
667	17535	8715
668	17555	8685
669	17589	8663
670	17610	8634
671	17638	8609
672	17677	8589
673	17700	8561
674	17719	8531
675	17741	8503
676	17766	8476
677	17783	8445
678	17801	8415
679	17821	8386
680	17842	8357
681	17864	8329
682	17888	8302
683	17908	8273
684	17927	8243
685	17943	8213
686	17964	8184
687	17988	8157
688	18019	8133
689	18045	8107
690	18070	8080
691	18088	8050
692	18107	8021
693	18133	7995
694	18151	7965
695	18172	7937
696	18188	7906
697	18206	7877
698	18232	7851
699	18261	7826
700	18275	7795
701	18292	7764
702	18336	7746
703	18362	7720
704	18397	7698
705	18553	7726
706	18669	7737
707	18703	7713
708	18745	7693
709	18766	7665
710	18787	7636
711	18816	7611
712	18872	7596
713	18894	7568
714	18919	7541
715	18940	7512
716	18963	7484
717	18984	7456
718	19005	7427
719	19025	7398
720	19045	7369
721	19062	7339
722	19083	7311
723	19103	7282
724	19121	7252
725	19251	7265
726	19380	7277
727	19401	7249
728	19462	7235
729	19479	7204
730	19494	7173
731	19508	7142
732	19519	7110
733	19533	7078
734	19548	7048
735	19562	7016
736	19577	6986
737	19589	6954
738	19605	6924
739	19618	6892
740	19634	6862
741	19649	6832
742	19664	6801
743	19678	6770
744	19690	6739
745	19706	6709
746	19721	6679
747	19737	6649
748	19754	6620
749	19769	6589
750	19786	6560
751	19801	6530
752	19827	6503
753	19843	6473
754	19858	6444
755	19877	6415
756	19894	6386
757	19908	6355
758	19923	6326
759	19938	6296
760	19955	6267
761	19971	6237
762	19987	6208
